step,removed_sensor_candidate,active_count_after,active_sensors_after,score,meets_thresholds,r2_temperature,r2_humidity
1,1,12,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9562155475316425,True,0.9384094743321871,0.9740216207310979
1,2,12,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9555789101306901,True,0.938458534050969,0.9726992862104111
1,3,12,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9505472242402169,True,0.9304093755009979,0.970685072979436
1,4,12,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9550465588715873,True,0.9361117772378873,0.9739813405052874
1,5,12,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13]",0.9523760121432518,True,0.9320796934034804,0.9726723308830233
1,6,12,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13]",0.9572992719446566,True,0.9415943725444451,0.973004171344868
1,7,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13]",0.957339524696794,True,0.9399613609908392,0.9747176884027486
1,8,12,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.9502494679022625,True,0.9286165811044491,0.9718823547000759
1,9,12,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13]",0.9580200778326357,True,0.9412475602405714,0.9747925954246999
1,10,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13]",0.9565342171672937,True,0.9386077512136597,0.9744606831209276
1,11,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",0.9554575191890211,True,0.9369186644476619,0.9739963739303804
1,12,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13]",0.9541961001869572,True,0.935210849443195,0.9731813509307196
1,13,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.9550976215848941,True,0.9367741079743369,0.9734211351954513
2,1,11,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13]",0.9581010425052424,True,0.9419270567841244,0.9742750282263605
2,2,11,"[1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13]",0.9544291277034109,True,0.9386771317223991,0.9701811236844229
2,3,11,"[1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13]",0.9507826772855158,True,0.9312486573882197,0.9703166971828119
2,4,11,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13]",0.9555818457721252,True,0.9373674266567318,0.9737962648875188
2,5,11,"[1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13]",0.9537985301220555,True,0.9348288684719944,0.9727681917721165
2,6,11,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13]",0.9562163844858386,True,0.9418224226705759,0.9706103463011012
2,7,11,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13]",0.95863400910749,True,0.9419940967567269,0.9752739214582531
2,8,11,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13]",0.9514060911924593,True,0.9308780652807005,0.9719341171042181
2,10,11,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13]",0.9569287235547937,True,0.939546909455423,0.9743105376541645
2,11,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13]",0.9551496474903465,True,0.9366412085793332,0.9736580864013599
2,12,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13]",0.9565124913871306,True,0.9390033184013116,0.9740216643729495
2,13,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",0.9557002190126151,True,0.9389734273643422,0.972427010660888
3,1,10,"[2, 3, 4, 5, 6, 8, 10, 11, 12, 13]",0.9595942651610572,True,0.9441904224174158,0.9749981079046987
3,2,10,"[1, 3, 4, 5, 6, 8, 10, 11, 12, 13]",0.9509599668814859,True,0.9331940366760486,0.9687258970869231
3,3,10,"[1, 2, 4, 5, 6, 8, 10, 11, 12, 13]",0.9537247840935025,True,0.9353864436437195,0.9720631245432855
3,4,10,"[1, 2, 3, 5, 6, 8, 10, 11, 12, 13]",0.9559097228005331,True,0.9374441981239472,0.9743752474771189
3,5,10,"[1, 2, 3, 4, 6, 8, 10, 11, 12, 13]",0.9533978730279544,True,0.9342095388688235,0.9725862071870852
3,6,10,"[1, 2, 3, 4, 5, 8, 10, 11, 12, 13]",0.9543963895893747,True,0.9381086178638331,0.9706841613149162
3,8,10,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13]",0.9544529572070836,True,0.9354227315730571,0.97348318284111
3,10,10,"[1, 2, 3, 4, 5, 6, 8, 11, 12, 13]",0.9562646130620329,True,0.9382939530760507,0.9742352730480153
3,11,10,"[1, 2, 3, 4, 5, 6, 8, 10, 12, 13]",0.9534909441989696,True,0.9339229219189468,0.9730589664789926
3,12,10,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 13]",0.9583018056299568,True,0.9418429928732945,0.974760618386619
3,13,10,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12]",0.9567918928432197,True,0.9403237945687244,0.9732599911177152
4,2,9,"[3, 4, 5, 6, 8, 10, 11, 12, 13]",0.9516971895788959,True,0.9352286806764205,0.9681656984813714
4,3,9,"[2, 4, 5, 6, 8, 10, 11, 12, 13]",0.9552160262477825,True,0.9377050569759173,0.9727269955196475
4,4,9,"[2, 3, 5, 6, 8, 10, 11, 12, 13]",0.9567326046532247,True,0.9395181327548137,0.9739470765516358
4,5,9,"[2, 3, 4, 6, 8, 10, 11, 12, 13]",0.9543436733832271,True,0.9367805626402248,0.9719067841262294
4,6,9,"[2, 3, 4, 5, 8, 10, 11, 12, 13]",0.9553177802271697,True,0.9405181296559265,0.9701174307984128
4,8,9,"[2, 3, 4, 5, 6, 10, 11, 12, 13]",0.9559061331106187,True,0.9385451300996721,0.9732671361215652
4,10,9,"[2, 3, 4, 5, 6, 8, 11, 12, 13]",0.9571188721041126,True,0.9401393225845921,0.974098421623633
4,11,9,"[2, 3, 4, 5, 6, 8, 10, 12, 13]",0.9565351772298804,True,0.9393285454327198,0.9737418090270409
4,12,9,"[2, 3, 4, 5, 6, 8, 10, 11, 13]",0.9576784279234027,True,0.9415508027626837,0.9738060530841217
4,13,9,"[2, 3, 4, 5, 6, 8, 10, 11, 12]",0.9578654950560941,True,0.9427129793862221,0.973018010725966
5,2,8,"[3, 4, 5, 6, 8, 10, 11, 12]",0.9501718514196742,True,0.9337665016611462,0.9665772011782023
5,3,8,"[2, 4, 5, 6, 8, 10, 11, 12]",0.9537549551106498,True,0.9364251690252186,0.971084741196081
5,4,8,"[2, 3, 5, 6, 8, 10, 11, 12]",0.9550808362414893,True,0.9382938879609009,0.9718677845220779
5,5,8,"[2, 3, 4, 6, 8, 10, 11, 12]",0.953082322610697,True,0.9358055632660801,0.9703590819553138
5,6,8,"[2, 3, 4, 5, 8, 10, 11, 12]",0.9531632452679863,True,0.9387507944932874,0.9675756960426855
5,8,8,"[2, 3, 4, 5, 6, 10, 11, 12]",0.954462572052361,True,0.9368553511291284,0.9720697929755934
5,10,8,"[2, 3, 4, 5, 6, 8, 11, 12]",0.9553333157316247,True,0.9386013050930679,0.9720653263701815
5,11,8,"[2, 3, 4, 5, 6, 8, 10, 12]",0.9547835697532984,True,0.9377224302869321,0.9718447092196646
5,12,8,"[2, 3, 4, 5, 6, 8, 10, 11]",0.9563271549428274,True,0.9405134404741629,0.9721408694114919
6,2,7,"[3, 4, 5, 6, 8, 10, 11]",0.9492814588419173,True,0.9331868548382206,0.965376062845614
6,3,7,"[2, 4, 5, 6, 8, 10, 11]",0.9485650765938723,True,0.9281244820508376,0.969005671136907
6,4,7,"[2, 3, 5, 6, 8, 10, 11]",0.9553696064063122,True,0.9391341490609508,0.9716050637516737
6,5,7,"[2, 3, 4, 6, 8, 10, 11]",0.9505140640196958,True,0.932818600893574,0.9682095271458178
6,6,7,"[2, 3, 4, 5, 8, 10, 11]",0.9545978718597334,True,0.941257786991283,0.9679379567281838
6,8,7,"[2, 3, 4, 5, 6, 10, 11]",0.9474278558130176,True,0.9270866955669815,0.9677690160590535
6,10,7,"[2, 3, 4, 5, 6, 8, 11]",0.952408229590406,True,0.934344619458995,0.970471839721817
6,11,7,"[2, 3, 4, 5, 6, 8, 10]",0.9539785128109346,True,0.9369429512171732,0.9710140744046959
7,2,6,"[3, 5, 6, 8, 10, 11]",0.9487717508872321,True,0.9325444416666342,0.96499906010783
7,3,6,"[2, 5, 6, 8, 10, 11]",0.9498457520794221,True,0.930909841430364,0.9687816627284802
7,5,6,"[2, 3, 6, 8, 10, 11]",0.9493202931281262,True,0.9314989076696292,0.9671416785866233
7,6,6,"[2, 3, 5, 8, 10, 11]",0.9536576742750755,True,0.9396534904333083,0.9676618581168428
7,8,6,"[2, 3, 5, 6, 10, 11]",0.9489921876657974,True,0.9297534694703867,0.968230905861208
7,10,6,"[2, 3, 5, 6, 8, 11]",0.9516466296461681,True,0.9340066316616983,0.969286627630638
7,11,6,"[2, 3, 5, 6, 8, 10]",0.9522276711107106,True,0.9347318575902729,0.9697234846311483
8,2,5,"[3, 5, 8, 10, 11]",0.9438306062421331,True,0.9293973462466111,0.9582638662376552
8,3,5,"[2, 5, 8, 10, 11]",0.9480811096118307,True,0.931130302487711,0.9650319167359505
8,5,5,"[2, 3, 8, 10, 11]",0.9476786738181575,True,0.9315631465969451,0.96379420103937
8,8,5,"[2, 3, 5, 10, 11]",0.949334863917126,True,0.932977784747184,0.9656919430870679
8,10,5,"[2, 3, 5, 8, 11]",0.9506284848070419,True,0.9350279955309818,0.9662289740831019
8,11,5,"[2, 3, 5, 8, 10]",0.9493480561132042,True,0.9334784838598066,0.9652176283666019
9,2,4,"[3, 5, 8, 11]",0.940983947031037,True,0.9255563493215301,0.956411544740544
9,3,4,"[2, 5, 8, 11]",0.9465680945223048,True,0.9297914251981347,0.9633447638464749
9,5,4,"[2, 3, 8, 11]",0.9418344472240341,True,0.9227692528836337,0.9608996415644344
9,8,4,"[2, 3, 5, 11]",0.9458976921501439,True,0.9287469794030693,0.9630484048972185
9,11,4,"[2, 3, 5, 8]",0.9452539724895908,True,0.9272683482999697,0.9632395966792119
10,2,3,"[5, 8, 11]",0.9346471964842564,True,0.9166514357110634,0.9526429572574493
10,5,3,"[2, 8, 11]",0.9401512335853695,True,0.9207826365481344,0.9595198306226046
10,8,3,"[2, 5, 11]",0.9258805684788551,True,0.8996972401400638,0.9520638968176466
10,11,3,"[2, 5, 8]",0.944459165724561,True,0.9270716968256859,0.9618466346234361
11,2,2,"[5, 8]",0.9334445485881748,True,0.9156594983229078,0.9512295988534417
11,5,2,"[2, 8]",0.9245655471832643,True,0.8983115643682661,0.9508195299982627
11,8,2,"[2, 5]",0.9179566947108144,True,0.8896753526159622,0.9462380368056666
12,5,1,[8],0.8331922901701847,True,0.7993021475657223,0.867082432774647
12,8,1,[5],0.8390540575299683,True,0.8139559441368895,0.8641521709230471
